Date,Description,Amount (₹),Category
2025-08-21,PUBG UC purchase,499,Gaming
2025-08-21,Free Fire diamonds,299,Gaming
2025-08-21,Call of Duty battle pass,799,Gaming
2025-08-21,PlayStation game subscription,599,Gaming
2025-08-21,Xbox Game Pass,489,Gaming
2025-08-21,Steam game purchase,999,Gaming
2025-08-21,Swiggy pizza order,349,Food & Drinks
2025-08-21,Zomato burger combo,289,Food & Drinks
2025-08-21,Swiggy biryani order,419,Food & Drinks
2025-08-21,Zomato coffee and snacks,199,Food & Drinks
2025-08-21,Cold drink - Coca Cola,60,Food & Drinks
2025-08-21,Cold drink - Pepsi,55,Food & Drinks
2025-08-21,Cold drink - Sprite,50,Food & Drinks
2025-08-21,Red Bull energy drink,125,Food & Drinks
2025-08-21,Domino’s order via Swiggy,549,Food & Drinks
2025-08-21,KFC order via Zomato,459,Food & Drinks
2025-08-21,Netflix subscription,649,Entertainment
2025-08-21,Hotstar premium,499,Entertainment
2025-08-21,Gaming mouse pad (impulse buy),299,Shopping
2025-08-21,In-app skins purchase (Fortnite/BGMI),699,Gaming
